id;name;contact_id;ingradient_id;active;detail;created_date
1;frictionless Account Ergonomic;86411;64840;false;Gabon maroon;2022-11-11
2;1080p;62785;23286;false;Account Infrastructure Baby;2022-11-11
3;Berkshire;1881;8308;false;Ways;2022-11-10
4;red Escudo Assurance;58295;33249;false;Account quantifying;2022-11-10
5;Kids;87210;26550;false;Soap Cuban Fish;2022-11-11
6;quantify redundant Borders;67952;36809;true;Salad Sleek;2022-11-10
7;Electronics Kyat;50;15980;true;Representative Dram user-centric;2022-11-11
8;user-centric Tools;14402;47819;false;transmitting Specialist Sharable;2022-11-11
9;coherent strategy;67214;33326;true;Savings online;2022-11-10
10;24;44200;15665;true;deposit withdrawal;2022-11-11
